,Accommodation and food services ,Accommodation and food services ,Accommodation and food services ,Construction ,Construction ,Construction ,Educational services ,Educational services ,Educational services ,Health care and social assistance ,Health care and social assistance ,Health care and social assistance ,Manufacturing ,Manufacturing ,Manufacturing ,Other services (except public administration) ,Other services (except public administration) ,Other services (except public administration) ,"Professional, scientific and technical services ","Professional, scientific and technical services ","Professional, scientific and technical services ",Public administration ,Public administration ,Public administration ,Transportation and warehousing ,Transportation and warehousing ,Transportation and warehousing ,Utilities ,Utilities ,Utilities 
,GDP,Labour,Wages,GDP,Labour,Wages,GDP,Labour,Wages,GDP,Labour,Wages,GDP,Labour,Wages,GDP,Labour,Wages,GDP,Labour,Wages,GDP,Labour,Wages,GDP,Labour,Wages,GDP,Labour,Wages
1997-01-01,27361.0,1121.4,8.81,71294.0,2533.5,17.26,68408.0,185.1,20.51,87041.0,331.6,16.45,165474.0,1471.9,16.55,23834.0,891.9,12.97,51325.0,375.0,18.17,83757.0,648.3,19.63,51402.0,536.1,15.93,33479.0,9.2,22.71
1997-02-01,27627.0,1149.7,8.7,71818.0,2756.9,17.21,68464.0,170.9,20.49,87582.0,281.9,16.36,167389.0,1291.3,16.55,23938.0,638.8,12.8,51452.0,470.5,18.01,83831.0,671.8,19.6,51959.0,519.3,15.91,33561.0,4.0,22.5
1997-03-01,27696.0,1117.6,8.63,71841.0,2459.7,17.02,68466.0,157.3,20.56,87900.0,257.1,16.32,165776.0,1216.6,16.53,23997.0,748.6,13.03,52026.0,301.5,18.01,83745.0,724.0,19.66,52256.0,479.3,15.99,33311.0,8.3,22.68
1997-04-01,27802.0,1099.9,8.77,72775.0,2654.5,16.78,68202.0,254.5,20.86,88259.0,308.2,16.58,168419.0,1134.4,16.44,24123.0,726.4,12.94,52487.0,251.5,18.17,83881.0,770.6,19.58,52576.0,522.7,15.95,33309.0,48.4,22.76
1997-05-01,27877.0,933.3,8.76,73664.0,2027.5,16.34,67931.0,653.4,20.88,88502.0,362.4,16.58,169988.0,753.3,16.37,24373.0,638.7,13.12,52910.0,341.1,18.27,83891.0,793.3,19.41,53005.0,427.4,16.1,33118.0,120.1,22.43
1997-06-01,27794.0,768.5,8.81,74769.0,1194.2,16.2,68161.0,577.0,21.02,88485.0,342.1,16.45,168758.0,679.9,16.27,24536.0,533.0,12.78,52927.0,309.3,18.26,84107.0,621.1,19.31,53271.0,344.4,15.87,32433.0,12.2,22.75
1997-07-01,27485.0,702.0,8.83,75242.0,840.9,15.95,68120.0,723.3,21.37,88998.0,348.1,16.28,173068.0,821.9,16.15,24719.0,489.6,12.49,53946.0,286.6,18.25,84106.0,338.8,18.82,53540.0,366.6,16.12,32345.0,3.5,23.21
1997-08-01,27827.0,672.4,8.92,75699.0,731.9,15.99,69088.0,1072.1,21.36,88793.0,356.3,16.3,172304.0,524.9,16.07,24666.0,584.3,12.4,54365.0,247.9,18.5,83968.0,291.0,19.0,54095.0,454.8,16.07,32173.0,15.9,22.88
1997-09-01,28003.0,781.5,9.0,76107.0,828.8,16.41,68657.0,317.0,20.95,88672.0,300.1,16.58,172611.0,592.1,16.24,24706.0,578.1,12.89,54705.0,267.4,18.79,83766.0,560.0,19.61,53350.0,333.1,16.13,32101.0,46.5,23.41
1997-10-01,27883.0,994.8,9.09,76035.0,959.7,16.46,66317.0,196.5,20.96,88961.0,290.0,16.38,174629.0,724.4,16.21,24743.0,605.6,12.73,54896.0,237.6,18.86,83312.0,586.9,19.47,53397.0,455.7,16.07,32265.0,7.0,23.42
1997-11-01,27897.0,978.7,9.11,76108.0,1579.3,16.71,66453.0,173.1,20.83,89311.0,249.2,16.52,173808.0,1014.8,16.36,24861.0,553.3,12.75,55110.0,199.2,18.63,83686.0,624.3,19.57,51817.0,369.2,16.05,33331.0,18.5,23.06
1997-12-01,28204.0,793.3,9.07,75194.0,1932.3,16.67,68885.0,150.3,21.04,89391.0,244.8,16.51,175503.0,1032.0,16.34,24951.0,527.3,12.87,55948.0,153.7,18.49,83970.0,824.6,19.61,53712.0,342.8,16.3,32522.0,57.4,23.08
1998-01-01,28996.0,1111.1,9.05,76067.0,2329.7,16.99,66911.0,268.6,20.9,89403.0,244.2,16.45,175033.0,1462.0,16.48,24951.0,717.8,13.05,56699.0,329.8,18.45,82547.0,640.5,19.7,53671.0,459.6,16.19,31982.0,43.3,23.41
1998-02-01,29560.0,884.9,9.05,75946.0,2280.0,17.13,68438.0,118.1,20.76,89728.0,230.9,16.4,177719.0,1391.6,16.55,25048.0,791.5,12.88,57847.0,297.8,18.28,84111.0,556.2,19.71,53699.0,496.9,16.24,32020.0,11.7,23.36
1998-03-01,28935.0,1034.1,9.05,75242.0,2356.9,17.0,68558.0,101.8,20.75,90181.0,239.7,16.42,179066.0,1251.7,16.47,25193.0,710.1,12.78,58139.0,200.3,18.25,84017.0,442.2,19.96,53826.0,481.2,16.26,32666.0,10.6,22.86
1998-04-01,28804.0,885.0,9.03,75456.0,2170.5,17.01,68610.0,148.5,20.69,89964.0,324.5,16.32,179445.0,1197.1,16.54,25154.0,679.2,12.94,58188.0,249.7,18.46,84151.0,562.6,20.12,53845.0,678.9,16.4,32181.0,25.8,22.84
1998-05-01,28933.0,833.7,9.0,75205.0,1218.2,16.79,68637.0,341.2,20.85,89957.0,370.0,16.38,178478.0,1059.5,16.57,25245.0,454.3,12.91,58601.0,273.2,18.53,84038.0,548.8,19.81,53262.0,371.9,16.24,31895.0,25.4,22.92
1998-06-01,29134.0,663.6,9.01,75000.0,864.3,16.42,68686.0,474.3,20.76,90388.0,505.5,16.44,177227.0,770.0,16.55,25266.0,523.9,12.92,59107.0,317.2,18.71,84621.0,439.3,19.51,52801.0,301.2,16.26,32721.0,9.5,22.73
1998-07-01,29671.0,655.6,8.94,74870.0,896.1,16.37,69711.0,771.0,21.26,90416.0,320.0,16.33,173750.0,892.3,16.39,25390.0,390.1,12.76,59785.0,353.2,18.75,85014.0,214.7,19.03,52406.0,221.3,16.21,32456.0,10.3,22.63
1998-08-01,29859.0,587.5,8.98,74597.0,754.6,16.77,68900.0,1071.5,21.2,90765.0,293.6,16.43,178001.0,717.2,16.33,25656.0,514.7,13.04,60552.0,229.2,18.66,85091.0,278.7,19.29,53444.0,277.3,16.06,34235.0,9.6,22.8
1998-09-01,29758.0,838.2,9.18,74144.0,703.1,17.38,68537.0,285.3,20.93,90966.0,221.8,16.5,180977.0,677.2,16.62,25729.0,508.3,13.22,60965.0,230.2,18.9,85194.0,518.5,19.9,52670.0,291.4,16.32,32449.0,3.5,23.34
1998-10-01,29687.0,898.6,9.05,73819.0,1096.0,17.41,69298.0,178.8,20.89,90945.0,298.2,16.58,182740.0,742.4,16.53,25680.0,470.1,13.16,61746.0,238.3,18.93,85041.0,540.2,19.92,54694.0,306.5,16.5,32073.0,3.7,23.46
1998-11-01,29575.0,1032.5,9.16,74535.0,1271.9,17.55,69334.0,139.7,20.97,91168.0,201.4,16.66,182638.0,973.4,16.62,25761.0,463.3,13.4,62061.0,161.1,18.98,85274.0,609.4,20.01,54740.0,323.2,16.54,32661.0,3.2,23.61
1998-12-01,29936.0,943.6,9.24,74794.0,1838.8,17.75,69342.0,104.5,20.82,91293.0,216.2,16.53,186008.0,1183.0,16.74,25872.0,441.1,13.21,62972.0,192.9,18.79,85634.0,598.7,20.22,55679.0,339.5,16.43,32649.0,6.1,23.83
1999-01-01,29908.0,1168.0,9.16,76203.0,2248.9,17.67,69838.0,109.6,20.77,91620.0,129.8,16.57,186474.0,1454.6,16.79,25862.0,701.2,12.91,62537.0,318.6,19.17,85404.0,587.4,20.35,54965.0,404.1,16.79,32746.0,42.4,24.55
1999-02-01,30236.0,999.3,9.11,76380.0,2335.5,17.36,69650.0,146.2,20.77,91776.0,180.6,16.55,187360.0,1432.5,16.78,26124.0,777.0,13.01,63444.0,329.8,19.26,85589.0,418.9,20.13,54906.0,410.8,16.63,32412.0,9.8,24.21
1999-03-01,30198.0,1009.4,9.11,75402.0,2342.5,17.27,69827.0,140.8,20.75,91921.0,181.7,16.72,187040.0,1410.0,16.82,26219.0,757.3,12.96,64112.0,278.1,19.49,85629.0,421.3,20.38,54545.0,468.1,16.51,32495.0,3.9,23.65
1999-04-01,30566.0,1115.9,9.14,76798.0,2142.8,17.2,70163.0,171.7,20.91,92370.0,165.2,16.62,189395.0,1549.7,16.94,26372.0,788.9,12.98,64543.0,219.2,19.81,85911.0,370.1,20.54,55690.0,735.1,16.43,32827.0,5.9,24.18
1999-05-01,30251.0,993.6,9.04,77506.0,1539.4,16.9,70181.0,366.3,21.11,92407.0,271.7,16.51,188754.0,914.9,16.79,26533.0,706.7,12.89,64887.0,309.0,20.13,85980.0,469.9,20.44,55710.0,497.2,16.21,32444.0,7.6,24.23
1999-06-01,30191.0,805.9,8.98,77690.0,1025.4,16.61,70122.0,363.9,21.23,92382.0,184.3,16.44,192523.0,693.7,16.8,26646.0,701.1,12.84,65383.0,270.8,20.08,86133.0,401.3,20.38,56303.0,280.9,16.38,32431.0,4.0,23.67
1999-07-01,30132.0,703.5,9.0,78553.0,658.5,16.48,70260.0,712.5,21.62,92455.0,167.4,16.43,193499.0,695.1,16.77,26750.0,587.1,13.12,65679.0,256.5,19.76,86110.0,242.9,20.07,56399.0,257.1,16.44,33377.0,0.0,23.28
1999-08-01,30208.0,670.7,9.16,78354.0,645.6,16.74,70413.0,1240.9,21.83,92634.0,198.4,16.62,196374.0,726.7,16.86,26666.0,550.6,13.12,65753.0,485.5,19.97,86423.0,273.6,20.47,56302.0,368.5,16.73,32662.0,1.3,23.15
1999-09-01,30501.0,795.6,9.15,78979.0,795.8,17.05,70588.0,302.7,21.41,92959.0,241.2,16.75,198014.0,696.2,16.94,26936.0,611.5,13.35,66470.0,288.8,20.4,87014.0,352.4,21.13,57106.0,239.5,16.63,33557.0,1.7,23.79
1999-10-01,30721.0,780.3,9.25,79826.0,584.2,17.15,70796.0,119.1,21.22,93227.0,302.2,16.84,196961.0,728.7,16.94,27124.0,425.2,13.31,67374.0,328.0,20.25,87362.0,435.7,21.23,57599.0,396.5,16.64,33231.0,4.1,23.3
1999-11-01,30572.0,978.9,9.25,81332.0,813.7,17.51,70838.0,73.9,21.2,93578.0,97.3,16.96,200956.0,918.5,16.93,27240.0,486.1,13.5,68421.0,238.6,20.37,87456.0,408.6,21.24,57929.0,368.4,16.65,31894.0,27.5,23.59
1999-12-01,30333.0,829.1,9.22,82494.0,1319.8,17.88,70996.0,70.6,21.15,94159.0,166.7,17.15,205465.0,900.5,17.08,27425.0,577.5,13.54,69281.0,226.0,20.42,87898.0,195.0,21.17,57376.0,473.7,17.06,32337.0,62.7,23.23
2000-01-01,30533.0,1040.0,9.32,82319.0,2139.6,18.17,70798.0,109.1,21.19,94406.0,144.2,16.97,205028.0,1131.0,17.38,27488.0,544.6,13.68,69605.0,323.6,20.63,88246.0,306.5,21.31,57567.0,440.6,17.21,33155.0,37.2,23.36
2000-02-01,30500.0,950.7,9.26,82195.0,2405.3,18.21,70838.0,91.2,21.14,94887.0,101.2,17.03,204065.0,1119.5,17.44,27550.0,484.6,13.61,69926.0,192.5,20.53,88464.0,267.0,21.21,57801.0,422.9,17.03,33323.0,18.3,24.01
2000-03-01,30686.0,961.9,9.24,81780.0,2377.8,18.2,70803.0,113.1,21.06,95318.0,116.0,16.89,209046.0,1097.9,17.43,27652.0,615.0,13.86,70669.0,203.2,20.47,88745.0,231.0,21.28,59070.0,502.7,17.22,31507.0,51.2,23.93
2000-04-01,30819.0,852.4,9.35,81846.0,1834.4,18.01,71051.0,104.5,21.4,95493.0,113.5,17.16,207295.0,973.0,17.62,27621.0,422.6,13.88,71243.0,178.0,20.6,88512.0,245.3,21.57,58262.0,407.6,17.45,32274.0,31.2,23.46
2000-05-01,31255.0,879.7,9.43,81188.0,1205.4,17.74,71158.0,243.1,21.34,95698.0,144.2,17.02,210789.0,804.7,17.42,27681.0,593.4,13.74,71791.0,309.2,20.88,89108.0,496.2,21.2,58782.0,297.0,17.42,33068.0,45.1,23.87
2000-06-01,31352.0,642.5,9.31,80807.0,796.2,17.46,71300.0,201.4,21.43,95879.0,205.9,16.96,211805.0,679.4,17.4,27736.0,464.9,13.93,72437.0,261.6,21.0,89463.0,330.3,21.14,58958.0,224.7,17.31,32684.0,34.5,23.75
2000-07-01,31940.0,519.6,9.3,81313.0,741.1,17.26,71246.0,764.9,22.06,96058.0,158.1,17.06,212368.0,776.9,17.27,27834.0,506.2,13.87,73232.0,146.5,20.83,89947.0,287.1,20.55,59143.0,340.5,17.38,32438.0,1.6,24.13
2000-08-01,31627.0,627.7,9.26,81512.0,769.3,17.27,71451.0,1275.3,22.25,96239.0,179.6,17.08,214525.0,677.1,17.55,27936.0,473.6,14.16,73503.0,225.3,20.91,89863.0,197.1,20.87,59779.0,393.1,17.48,32981.0,30.8,24.83
2000-09-01,31760.0,562.2,9.45,81977.0,821.1,17.66,71373.0,273.1,22.02,96367.0,224.7,17.34,214616.0,617.9,17.79,28012.0,445.2,14.25,73893.0,199.6,21.3,90058.0,556.5,21.49,59697.0,135.1,17.47,32938.0,28.2,25.36
2000-10-01,32333.0,755.3,9.55,82444.0,733.8,17.78,71253.0,105.4,21.73,96288.0,238.9,17.42,215218.0,758.3,17.76,28074.0,426.6,14.24,74137.0,282.4,21.31,90080.0,245.2,21.74,60107.0,166.4,17.53,32518.0,11.3,24.88
2000-11-01,32092.0,936.9,9.68,82403.0,1136.3,17.86,71027.0,100.2,21.58,96552.0,93.7,17.43,215139.0,1125.3,17.8,28181.0,377.9,14.37,74319.0,194.5,20.99,90210.0,221.5,21.75,60277.0,197.6,17.37,32732.0,0.0,25.58
2000-12-01,32070.0,687.6,9.61,82630.0,1303.0,18.25,71129.0,114.6,21.8,96643.0,90.6,17.43,213402.0,1089.8,17.79,28315.0,537.0,14.37,73817.0,168.1,20.99,90271.0,236.7,21.94,60188.0,267.3,17.47,33957.0,8.0,25.54
2001-01-01,32221.0,962.9,9.63,84232.0,1817.1,18.55,71319.0,154.7,21.67,96733.0,118.4,17.54,209537.0,1305.3,17.99,28562.0,415.4,14.46,74462.0,355.2,21.4,90242.0,516.3,21.89,61356.0,428.4,17.61,31472.0,13.8,25.15
2001-02-01,32184.0,979.6,9.71,84900.0,1892.9,18.63,71302.0,65.3,21.84,96687.0,253.0,17.6,207889.0,1231.4,17.95,28818.0,389.2,14.5,74074.0,244.9,21.47,90285.0,327.4,22.2,60821.0,374.6,17.46,32563.0,34.3,24.73
2001-03-01,32667.0,982.5,9.63,86441.0,1922.9,18.97,71162.0,147.1,21.78,96847.0,173.5,17.72,206175.0,1149.3,17.93,28842.0,523.9,14.18,73758.0,198.3,21.27,90373.0,264.4,22.17,60777.0,432.6,17.94,32095.0,15.5,24.91
2001-04-01,31826.0,1140.0,9.7,85943.0,1987.1,18.92,70044.0,139.4,21.97,96777.0,156.7,17.77,205462.0,1249.3,18.05,28977.0,456.2,14.18,73837.0,303.3,21.6,90366.0,380.1,22.15,60332.0,559.8,17.96,32199.0,74.1,25.64
2001-05-01,31751.0,913.6,9.83,86152.0,1233.7,18.6,70921.0,335.5,21.96,97282.0,189.7,17.63,206514.0,801.8,18.06,29045.0,352.7,14.38,73664.0,387.0,21.75,91382.0,295.1,22.04,60892.0,465.8,17.83,32283.0,7.5,25.25
2001-06-01,31655.0,659.1,9.79,86680.0,785.3,18.17,71167.0,328.9,21.97,97184.0,141.1,17.73,205136.0,595.6,17.9,29178.0,527.0,14.48,73446.0,261.9,21.71,91077.0,409.2,21.63,60399.0,285.8,17.61,32404.0,7.3,25.56
2001-07-01,31839.0,523.8,9.6,87363.0,728.1,18.17,71468.0,888.1,22.22,97348.0,180.6,17.72,202592.0,787.1,17.71,29219.0,541.2,14.39,73003.0,420.8,21.5,91186.0,179.4,21.4,60735.0,261.3,17.96,31443.0,0.0,25.46
2001-08-01,31709.0,522.4,9.57,88195.0,629.1,18.21,71131.0,1375.1,22.2,97497.0,186.1,17.82,202338.0,759.0,17.8,29347.0,366.0,14.33,73189.0,318.3,21.62,91373.0,195.4,21.66,60352.0,368.7,17.89,31926.0,7.7,25.34
2001-09-01,30481.0,614.1,9.87,88551.0,727.7,18.61,71388.0,177.2,22.23,97854.0,240.4,17.97,198925.0,896.0,18.04,29552.0,283.7,14.56,72784.0,319.8,21.76,92029.0,601.0,22.31,59230.0,306.4,17.94,31420.0,0.0,25.34
2001-10-01,30908.0,796.3,9.78,89122.0,724.7,18.46,71628.0,127.4,21.96,98039.0,232.2,17.84,199696.0,819.1,18.17,29610.0,267.6,14.47,72650.0,338.7,21.94,92470.0,320.1,22.42,59044.0,458.1,17.71,31829.0,22.7,25.29
2001-11-01,31692.0,918.3,9.65,89724.0,1048.9,18.84,71630.0,89.6,21.88,98199.0,158.9,17.91,200567.0,1119.1,18.38,29749.0,377.1,14.17,72591.0,224.0,22.2,92859.0,322.5,22.41,59661.0,340.0,17.9,32113.0,101.2,25.31
2001-12-01,32210.0,880.8,9.86,90272.0,1451.7,18.89,71995.0,134.9,22.01,98377.0,144.5,18.07,196112.0,1456.9,18.49,29873.0,351.6,14.32,72396.0,268.8,22.39,93614.0,353.2,23.19,58849.0,502.5,17.77,32038.0,11.7,25.36
2002-01-01,31657.0,986.5,9.86,90293.0,2133.2,19.52,71978.0,124.4,22.09,98709.0,175.0,18.07,204981.0,1609.1,18.45,30058.0,510.1,14.26,73014.0,432.8,21.88,93950.0,445.0,23.28,59504.0,759.3,17.77,31982.0,20.3,26.17
2002-02-01,31938.0,1087.7,9.82,90293.0,2099.5,19.53,72030.0,103.6,22.48,99021.0,166.5,18.15,207795.0,1597.3,18.61,30159.0,686.1,14.31,73838.0,429.5,22.17,94390.0,301.6,23.3,59785.0,645.4,17.75,32253.0,19.1,26.3
2002-03-01,32082.0,1003.6,9.84,90373.0,1825.6,19.75,72689.0,246.6,22.37,99135.0,155.3,18.22,205584.0,1515.5,18.7,30181.0,628.8,14.19,73795.0,314.8,22.66,93556.0,225.7,23.34,59621.0,566.0,17.93,33641.0,34.7,26.25
2002-04-01,32671.0,996.8,9.78,91450.0,1778.8,19.59,72850.0,176.1,22.65,99115.0,145.5,18.58,208336.0,1335.8,18.53,30229.0,503.3,14.31,73584.0,333.7,22.27,93814.0,308.5,23.46,60377.0,572.7,18.12,33767.0,100.0,27.03
2002-05-01,32709.0,1128.4,9.95,91340.0,1236.0,19.2,73164.0,430.7,22.79,99123.0,337.2,18.66,210332.0,806.5,18.24,30333.0,623.3,14.3,73450.0,543.6,22.04,95440.0,485.8,23.36,60482.0,397.4,18.0,33748.0,177.8,26.79
2002-06-01,32847.0,779.1,9.93,92998.0,748.5,18.69,73283.0,370.3,22.64,99434.0,202.2,18.76,208068.0,725.9,18.26,30364.0,466.6,14.18,73696.0,472.7,21.54,95662.0,354.5,22.99,60362.0,318.9,18.24,33878.0,138.0,26.52
2002-07-01,32866.0,607.2,9.81,92508.0,796.0,18.44,73503.0,698.4,22.9,99769.0,191.0,18.55,209618.0,824.5,18.12,30413.0,504.3,14.36,74223.0,305.6,21.89,95289.0,202.4,22.54,60283.0,398.2,18.26,34421.0,10.0,25.55
2002-08-01,32800.0,699.9,9.84,92545.0,588.2,18.4,73863.0,1391.3,23.09,100128.0,183.5,18.68,210018.0,820.5,18.15,30568.0,443.2,14.48,74731.0,354.7,21.96,95241.0,203.2,22.48,60508.0,393.6,18.56,33984.0,105.8,25.73
2002-09-01,32500.0,679.3,10.0,92640.0,662.7,18.86,74216.0,309.7,22.82,100538.0,192.9,18.9,205768.0,819.8,18.3,30571.0,690.9,15.04,75265.0,406.6,22.28,95770.0,383.7,23.42,60502.0,172.4,18.47,34611.0,6.1,26.06
2002-10-01,32128.0,973.7,9.99,93936.0,947.8,18.79,74640.0,220.9,22.82,100939.0,117.1,18.83,207012.0,999.8,18.49,30575.0,600.8,15.14,75615.0,323.7,22.93,96073.0,248.1,23.42,60626.0,250.8,18.25,35335.0,5.2,25.97
2002-11-01,32236.0,1060.9,10.01,93420.0,1379.7,19.01,74785.0,180.1,22.76,101354.0,115.4,18.89,205766.0,1184.5,18.53,30580.0,588.0,15.04,76021.0,283.0,22.85,96232.0,324.4,23.36,60315.0,508.8,18.15,34567.0,0.0,26.69
2002-12-01,32234.0,920.3,10.01,92791.0,1605.3,19.02,75167.0,80.3,22.89,101259.0,178.6,18.8,202478.0,1286.6,18.49,30494.0,482.8,14.87,76083.0,270.0,22.92,96430.0,272.3,23.42,59938.0,325.4,18.36,34433.0,0.0,26.62
2003-01-01,31555.0,1128.0,10.22,92949.0,2461.1,19.35,75193.0,106.9,22.84,101803.0,160.2,18.82,203266.0,1655.9,18.84,30549.0,606.9,14.56,76754.0,347.1,23.2,96936.0,317.8,23.91,60434.0,604.2,18.11,34920.0,12.1,26.76
2003-02-01,31994.0,1151.1,10.22,93615.0,2303.7,19.52,75544.0,87.7,22.83,102334.0,182.4,18.9,203258.0,1336.2,19.04,30437.0,581.3,14.56,76778.0,353.4,22.76,97111.0,233.7,23.93,60837.0,610.6,18.54,35772.0,6.9,26.59
2003-03-01,32005.0,987.3,10.23,93690.0,2237.7,19.35,75471.0,126.1,22.76,102517.0,181.0,18.92,203751.0,1267.1,18.83,30505.0,652.7,14.55,76662.0,337.3,22.96,97181.0,326.7,24.08,60526.0,565.4,18.63,34724.0,11.9,27.53
2003-04-01,31244.0,1121.2,10.23,93753.0,1714.9,19.21,75243.0,225.6,22.89,102375.0,188.1,18.95,202759.0,1585.2,18.9,30506.0,483.0,14.8,76556.0,330.1,22.74,96582.0,314.3,24.23,59768.0,637.1,18.55,34723.0,31.0,27.37
2003-05-01,31065.0,1030.8,10.22,93751.0,1190.7,19.15,75186.0,475.7,23.04,102648.0,231.7,18.78,203465.0,1023.6,18.87,30588.0,620.8,15.01,77085.0,254.6,22.8,96768.0,204.5,24.21,59756.0,594.6,18.5,34311.0,0.0,27.85
2003-06-01,31438.0,824.9,10.21,94171.0,831.9,18.79,75242.0,350.3,23.1,103054.0,156.2,18.81,201684.0,724.7,18.67,30559.0,544.4,14.8,77051.0,309.1,22.78,97083.0,188.0,23.74,59970.0,266.0,18.07,34162.0,2.8,26.91
2003-07-01,31407.0,766.3,10.08,94349.0,826.8,18.46,75155.0,837.6,23.69,103236.0,135.9,18.95,204127.0,827.7,18.72,30681.0,643.9,14.99,77790.0,340.9,22.27,97387.0,203.9,23.5,60261.0,334.9,18.42,34155.0,0.0,26.92
2003-08-01,31459.0,879.9,10.17,95602.0,681.4,18.89,74192.0,1366.0,23.64,102990.0,200.6,19.09,200104.0,668.8,18.91,30696.0,647.2,15.31,77150.0,419.8,22.47,94412.0,181.0,23.55,59551.0,499.7,18.53,34206.0,25.3,26.41
2003-09-01,31709.0,798.8,10.38,95568.0,673.1,19.27,74983.0,261.5,23.44,103342.0,212.7,19.22,205664.0,805.9,19.19,30700.0,549.7,15.29,77530.0,308.3,22.83,97356.0,369.3,24.37,60338.0,369.5,18.69,33744.0,66.9,26.65
2003-10-01,32047.0,915.0,10.36,96169.0,839.8,19.44,75051.0,129.1,23.38,103460.0,187.3,19.25,208446.0,894.1,18.99,30887.0,477.0,15.49,77794.0,203.5,22.71,97246.0,274.4,24.48,60500.0,475.1,18.7,32877.0,25.0,26.29
2003-11-01,32003.0,1135.6,10.25,96650.0,1174.6,19.68,75382.0,128.2,23.47,103439.0,248.0,19.23,208569.0,955.6,19.11,30833.0,475.4,15.4,77906.0,285.5,22.75,97430.0,439.8,24.37,60872.0,308.3,18.61,33784.0,23.0,26.7
2003-12-01,31778.0,1134.0,10.31,96733.0,1744.0,19.9,75832.0,234.1,23.23,103566.0,197.3,19.17,208764.0,959.1,19.16,30883.0,590.5,15.31,78100.0,222.9,22.83,97608.0,486.7,24.65,61555.0,259.1,18.68,33478.0,46.0,26.88
2004-01-01,31729.0,1242.7,10.38,97760.0,2226.6,20.08,75833.0,210.0,23.16,104236.0,206.2,19.51,205755.0,1269.5,19.31,31006.0,615.3,15.3,77993.0,272.5,23.38,97896.0,329.7,24.87,60985.0,537.3,18.57,34966.0,39.2,26.85
2004-02-01,31744.0,907.0,10.37,97855.0,2053.1,19.94,75953.0,234.1,23.39,104035.0,233.8,19.62,205892.0,1218.5,19.42,30956.0,566.2,15.27,77988.0,310.5,23.34,97837.0,292.7,24.79,60904.0,433.3,18.36,33766.0,10.7,27.0
2004-03-01,32358.0,1115.6,10.49,98590.0,1970.3,20.17,76049.0,219.7,23.63,104275.0,176.0,19.49,210131.0,1211.6,19.26,30915.0,526.9,15.25,78424.0,266.4,23.5,98254.0,551.5,24.88,61460.0,463.9,18.28,33167.0,11.0,27.88
